Day,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,,,,,,,,,,,,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.922222222222222,3.5,0.0,0.0,0.0,0.0,0.0,0.0
2,,,,,,,,,,,,0.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3444444444444446,12.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,,,,,,,,,,,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
5,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,,,,,,,,,,,,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,,,,,,,,,,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,,,,,,,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,,,,,,,,,,,,0.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,,,,,,,,,,,0.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,,,,,,,,,,,0.65,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
18,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
19,,,,,,,,,,,,1.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,,,,,,,,,,,,0.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,,,,,,,,,,,,4.071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
22,,,,,,,,,,,,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.5,0.0
24,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
25,,,,,,,,,,,,1.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
26,,,,,,,,,,,,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0
27,,,,,,,,,,,,1.1857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,,,,,,,,,,,,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,,,,,,,,,,,,1.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.825,0.0,0.2777777777777778,0.0,0.0,0.0,6.9,0.0,0.0,0.0
31,,,,,,,,,,,,0.9714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0625,0.0,2.1444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,,,,,,,,,,,,1.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,,,,,,,,,,,,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,,,,,,,,,,,,2.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,,,,,,,,,,,,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,,,,,,,,,,,,1.5857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,,,,,,,,,,,,3.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8625,0.0,3.0,0.0,0.0,0.0,0.0,0.0
40,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.225,0.0,0.0,4.1,0.0,0.0,0.0,10.5
41,,,,,,,,,,,,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.7375,0.0,0.0,0.0,0.0,0.0,3.5,0.0
42,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,13.0,0.14444444444444446,0.0,0.0,0.0,12.4,0.0,0.0,0.0
43,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0
45,,,,,,,,,,,,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5125,0.0,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,,,,,,,,,,,,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5499999999999998,0.0,0.2888888888888889,0.0,0.0,2.2,0.0,0.0,0.0,0.0
47,,,,,,,,,,,,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0625,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,,,,,,,,,,,,0.28750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2625,0.0,3.788888888888889,0.0,0.0,0.0,0.3,0.0,0.0,0.0
49,,,,,,,,,,,,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2625,0.0,3.5375,0.0,0.0,0.0,0.0,6.1,0.0,0.0
50,,,,,,,,,,,,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,18.811111111111114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,,,,,,,,,,,,0.6375,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.9,0.0,4.411111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,,,,,,,,,,,,0.25,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,,,,,,,,,,,,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8375000000000001,0.0,0.37777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,,,,,,,,,,,,1.3499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.5888888888888895,0.0,0.0,0.0,0.0,0.0,0.0,15.8
55,,,,,,,,,,,,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777777777777777,0.0,0.0,0.0,5.0,0.0,0.0,0.0
56,,,,,,,,,,,,0.7749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,16.0,0.6333333333333333,0.0,0.0,0.0,2.1,0.0,0.0,0.0
57,,,,,,,,,,,,0.028571428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.425,0.0,1.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0
58,,,,,,,,,,,,0.025,6.9,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,2.0444444444444447,0.0,0.0,0.0,0.2,0.0,0.0,0.0
