Day,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.1,0.0,0.0,0.0,,2311.7,0.0
2,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.1,0.0,0.0,0.0,,14.4,0.0
3,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,2.0,0.0,0.0,,0.3,0.0
4,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,,0.0,0.16666666666666666
5,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.32857142857142857,0.0,0.0,,0.4,0.0
6,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,,0.0,0.0
7,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,,-0.1,0.0
8,,,,,,,,,,,,,,,,,,,,,,0.0,2.1,0.0,0.0,0.0,0.0,,0.0,0.0
9,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,18.4,0.0
10,,,,,,,,,,,,,,,,,,,,,,0.125,0.0,0.0,0.6,0.0,0.0,,0.0,0.0
11,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.6500000000000001,0.0,0.0,,0.0,0.0
12,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
13,,,,,,,,,,,,,,,,,,,,,,0.0,19.8,0.0,0.1142857142857143,0.0,0.0,,6.4,0.0
14,,,,,,,,,,,,,,,,,,,,,,3.15,0.0,0.0,0.14285714285714285,0.0,0.0,,0.0,0.0
15,,,,,,,,,,,,,,,,,,,,,,2.9571428571428577,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
16,,,,,,,,,,,,,,,,,,,,,,16.3375,0.0,0.0,0.19999999999999998,0.0,11.6,,0.0,0.0
17,,,,,,,,,,,,,,,,,,,,,,0.9125,0.0,0.0,4.6571428571428575,0.0,7.2,,0.0,0.0
18,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.314285714285715,0.0,0.1,,0.0,0.0
19,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.2285714285714284,0.0,0.0,,0.0,2.1
20,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6285714285714284,0.0,0.0,,0.0,0.0
21,,,,,,,,,,,,,,,,,,,,,,0.2285714285714286,0.0,0.0,0.1142857142857143,0.0,0.0,,0.0,0.0
22,,,,,,,,,,,,,,,,,,,,,,0.375,0.0,0.0,3.0285714285714285,0.0,0.0,,0.0,0.0
23,,,,,,,,,,,,,,,,,,,,,,0.65,0.0,0.3,3.8000000000000003,0.0,0.0,,0.0,0.0
